"","Scientific_Name","Common_Name","Taxon","Subtaxon","Lead_Region","State","Q_n","Question","Explanation","Source","Factor","Sensitive"
"86","Agelaius xanthomus","Blackbird, yellow-shouldered","Vertebrate","Bird","FWS Region 4: Southeast","PR",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","""Avian pox was identified in the revised recovery plan as a potential problem for the mariquita (USFWS 1996). Mariquitas infected with avian pox had significantly lower survival rate than uninfected birds (USFWS 1996).  Also, inclement weather has been implicated in nest failure and mortality of mariquitas (Reitsma 1999).""","five-year review (http://ecos.fws.gov/docs/five_year_review/doc3603.pdf)","Injurious species","Yes"
"87","Agelaius xanthomus","Blackbird, yellow-shouldered","Vertebrate","Bird","FWS Region 4: Southeast","PR",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","","","Chemistry","No"
"88","Agelaius xanthomus","Blackbird, yellow-shouldered","Vertebrate","Bird","FWS Region 4: Southeast","PR",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"89","Agelaius xanthomus","Blackbird, yellow-shouldered","Vertebrate","Bird","FWS Region 4: Southeast","PR",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"91","Alasmidonta atropurpurea","Elktoe, Cumberland","Invertebrate","Mollusk","FWS Region 4: Southeast","KY, TN",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","Species are sensitive to increased water temperatures caused by decreases in water quality and quantity.  Reproduction is also highly tied to temperatures (both high and low).","species recovery plan (http://ecos.fws.gov/docs/recovery_plan/040524.pdf)","Temperature","Yes"
"92","Alasmidonta atropurpurea","Elktoe, Cumberland","Invertebrate","Mollusk","FWS Region 4: Southeast","KY, TN",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","Water withdrawals and drought are likely to be a problem for the species leading to habitat degradation.","species recovery plan (http://ecos.fws.gov/docs/recovery_plan/040524.pdf)","Hydrology","Yes"
"93","Alasmidonta atropurpurea","Elktoe, Cumberland","Invertebrate","Mollusk","FWS Region 4: Southeast","KY, TN",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","Species is highly sensitive to turbidity (suggesting increased storms and flooding, particularly at times of year when water quality is critical -- i.e. reproductive periods) could be detrimental to the species.  Disruption on natural water flow and impoundments are also very problematic.","species recovery plan (http://ecos.fws.gov/docs/recovery_plan/040524.pdf)","Disturbance","Yes"
"94","Alasmidonta atropurpurea","Elktoe, Cumberland","Invertebrate","Mollusk","FWS Region 4: Southeast","KY, TN",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","An endemic of the Cumberland River, original range was ""one of the most restricted of any Cumberlandian species."" the species now exists in severely isolated and fragmented habitat in a very restricted remaining portion of its range due to habitat loss.","species recovery plan (http://ecos.fws.gov/docs/recovery_plan/040524.pdf)","Isolation","Yes"
"95","Alasmidonta atropurpurea","Elktoe, Cumberland","Invertebrate","Mollusk","FWS Region 4: Southeast","KY, TN",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","","","Injurious species","No"
"96","Alasmidonta atropurpurea","Elktoe, Cumberland","Invertebrate","Mollusk","FWS Region 4: Southeast","KY, TN",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","Species is sensitive to changes in dissolved oxygen resulting from changes in water flow, quantity, quality, etc","species recovery plan (http://ecos.fws.gov/docs/recovery_plan/040524.pdf)","Chemistry","Yes"
"97","Alasmidonta atropurpurea","Elktoe, Cumberland","Invertebrate","Mollusk","FWS Region 4: Southeast","KY, TN",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","Species relies on temperature triggers for breeding (both in winter and spring), but its unclear if these would become out of sync with other seasonal changes.","species recovery plan (http://ecos.fws.gov/docs/recovery_plan/040524.pdf)","Phenology","No"
"98","Alasmidonta atropurpurea","Elktoe, Cumberland","Invertebrate","Mollusk","FWS Region 4: Southeast","KY, TN",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","","","Obligate relationships","No"
"100","Alasmidonta heterodon","Mussel, dwarf wedge","Invertebrate","Mollusk","FWS Region 5: Northeast","CT, MD, MA, NH, NJ, NY, NC, PA, VT, VA",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","","","Temperature","No"
"101","Alasmidonta heterodon","Mussel, dwarf wedge","Invertebrate","Mollusk","FWS Region 5: Northeast","CT, MD, MA, NH, NJ, NY, NC, PA, VT, VA",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","""Apparently, this species is relatively sensitive to pollution, siltation, low dissolved oxygen and is limited to flowing water conditions only (McLain and Ross, 2005).""","NatureServe","Hydrology","Yes"
"102","Alasmidonta heterodon","Mussel, dwarf wedge","Invertebrate","Mollusk","FWS Region 5: Northeast","CT, MD, MA, NH, NJ, NY, NC, PA, VT, VA",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","Flooding can result in habitat loss.","FWS five-year review (http://ecos.fws.gov/docs/five_year_review/doc1098.pdf)","Disturbance","Yes"
"103","Alasmidonta heterodon","Mussel, dwarf wedge","Invertebrate","Mollusk","FWS Region 5: Northeast","CT, MD, MA, NH, NJ, NY, NC, PA, VT, VA",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Species' current range is severely restricted from former range (only occupies 20-25% of former range) due to significant habitat loss. Original range much larger.","FWS five-year review (http://ecos.fws.gov/docs/five_year_review/doc1098.pdf)","Isolation","No"
"104","Alasmidonta heterodon","Mussel, dwarf wedge","Invertebrate","Mollusk","FWS Region 5: Northeast","CT, MD, MA, NH, NJ, NY, NC, PA, VT, VA",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","Species may be threatened by spread of invasive bivalves such as zebra mussel who may benefit from warming temperatures in their northern range (and continue to expand).","NatureServe","Injurious species","Yes"
"105","Alasmidonta heterodon","Mussel, dwarf wedge","Invertebrate","Mollusk","FWS Region 5: Northeast","CT, MD, MA, NH, NJ, NY, NC, PA, VT, VA",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","Apparently, this species is relatively sensitive to pollution, siltation, low dissolved oxygen"" (McLain and Ross, 2005).","NatureServe","Chemistry","Yes"
"106","Alasmidonta heterodon","Mussel, dwarf wedge","Invertebrate","Mollusk","FWS Region 5: Northeast","CT, MD, MA, NH, NJ, NY, NC, PA, VT, VA",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
"107","Alasmidonta heterodon","Mussel, dwarf wedge","Invertebrate","Mollusk","FWS Region 5: Northeast","CT, MD, MA, NH, NJ, NY, NC, PA, VT, VA",8,"Is the species is dependent on one or a few other species (e.g. host, pollinator, dominant food item) and may have limited alternatives if the required species declines due to climate change?  ","Species is dependent on about four glochial host species but  prefers the tessellated darter.","NatureServe","Obligate relationships","Yes"
"109","Alasmidonta raveneliana","Elktoe, Appalachian","Invertebrate","Mollusk","FWS Region 4: Southeast","NC, TN",1,"Does the species have specialized thermal tolerance (e.g. pika, trout) or depend on habitat with an important temperature threshold (e.g. sea ice)? ","Elevated water temperatures may be a problem for the species. ","FWS five-year review (http://ecos.fws.gov/docs/five_year_review/doc2369.pdf)","Temperature","Yes"
"110","Alasmidonta raveneliana","Elktoe, Appalachian","Invertebrate","Mollusk","FWS Region 4: Southeast","NC, TN",2,"Is the species dependent on habitat with specialized hydrology pattern (e.g. wetland, vernal pool, seasonal streams; sensitivity to drought)?","Species habitat is sensitive to drought and changes in flow; chemical pollution becomes more of a problem with increasing levels of drought as chemicals become more concentrated and more toxic","FWS five-year review (http://ecos.fws.gov/docs/five_year_review/doc2369.pdf)","Hydrology","Yes"
"111","Alasmidonta raveneliana","Elktoe, Appalachian","Invertebrate","Mollusk","FWS Region 4: Southeast","NC, TN",3,"Is the species or its habitat sensitive to or dependent upon a certain disturbance regime (e.g. old growth forest, fire-adapted system; seasonal floods)?","Species is sensitive to land and stream disturbances that result in erosion and storm water run-off.  Disease may also be a problem for the species.","NatureServe; FWS five-year review (http://ecos.fws.gov/docs/five_year_review/doc2369.pdf)","Disturbance","Yes"
"112","Alasmidonta raveneliana","Elktoe, Appalachian","Invertebrate","Mollusk","FWS Region 4: Southeast","NC, TN",4,"Is the species or its habitat geographically restricted or confined by natural and/or anthropogenic barriers (e.g. mountain range, isolated soil type, coastal zone or island, or hemmed in by urban development)?","Species is restricted to scattered pockets of suitable habitat and has been extirpated from much of its former range, which was much larger.","NatureServe","Isolation","No"
"113","Alasmidonta raveneliana","Elktoe, Appalachian","Invertebrate","Mollusk","FWS Region 4: Southeast","NC, TN",5,"Is the species or its habitat threatened by the spread of invasive or “out of balance” species (e.g. weed, forest pest, novel disease)?","","","Injurious species","No"
"114","Alasmidonta raveneliana","Elktoe, Appalachian","Invertebrate","Mollusk","FWS Region 4: Southeast","NC, TN",6,"Is the species sensitive to changes in chemical concentration (e.g. elevated atmospheric CO2, change in water pH, or dissolved oxygen tolerance)?","Species requires well oxygenated water, and is sensitive to water quality.","FWS five-year review (http://ecos.fws.gov/docs/five_year_review/doc2369.pdf)","Chemistry","Yes"
"115","Alasmidonta raveneliana","Elktoe, Appalachian","Invertebrate","Mollusk","FWS Region 4: Southeast","NC, TN",7,"Does the species rely on particular triggers for life cycle events (breeding, migration, color change) that are likely to become out of sync with seasonal changes in resource availability or environmental conditions (phenologic mismatch)?  ","","","Phenology","No"
